# 1 Hybird Metropolis method for Square Ising System
# 2 System size L=1000; N=1000000
# 3 Kernel size KERNEL_L=3; KERNEL_N=9
# 4 Exchange integral J=1
# 5 MC Steps. Heatup=25000; Main=1000000
# 6 T	<E>	<E^2>	<M>	<M^2>	step	seed
1.67	-1.9080383316574	3.64061115503898	0.973272823906665	0.947260089462018	100000	153
1.68	-1.90483490064672	3.62839691601406	0.972242370634803	0.945255332849446	100000	154
1.69	-1.90154314095672	3.61586726864342	0.971176386571105	0.943183685347379	100000	155
1.7	-1.89817092414224	3.60305384664565	0.970076962691654	0.941049431289032	100000	156
1.71	-1.89471327943846	3.58993943613332	0.968942442213393	0.938849580442437	100000	157
1.72	-1.89116310253342	3.57649894788977	0.967768759558352	0.936576503472193	100000	158
1.73	-1.88752342305925	3.56274577438033	0.966557746152874	0.934234014619818	100000	159
1.74	-1.883784538512	3.54864533094079	0.965303686067396	0.931811352130397	100000	160
1.75	-1.87995457578309	3.53423039589823	0.964008736757827	0.92931299898754	100000	161
1.76	-1.87602990931049	3.51948945270801	0.96267281385475	0.926739109757116	100000	162
1.77	-1.87200131256573	3.50439019124956	0.961289646500278	0.924077957343248	100000	163
1.78	-1.86787460578882	3.48895686851047	0.959861951428019	0.921335148563742	100000	164
1.79	-1.86364216294395	3.47316347809311	0.958384080560171	0.918500238699139	100000	165
1.8	-1.85930300130183	3.45700907637377	0.95685626991053	0.915574126307767	100000	166
1.81	-1.85485814325048	3.44050020264705	0.955278417524714	0.912557071495685	100000	167
1.82	-1.85029782308463	3.42360356453886	0.953643103438857	0.909435398848893	100000	168
1.83	-1.84563023855073	3.40635256186084	0.951954875449623	0.906218328811137	100000	169
1.84	-1.84084139348064	3.38869867285785	0.950204142274814	0.902888169832678	100000	170
1.85	-1.83593438166698	3.37065675390684	0.948393332524366	0.899450187960312	100000	171
1.86	-1.83089989767861	3.35219619856508	0.946515419368168	0.89589173104125	100000	172
1.87	-1.82574707266519	3.33335420276271	0.944572661778949	0.892217824657937	100000	173
1.88	-1.8204604102245	3.3140779901632	0.942558438944468	0.888416740999163	100000	174
1.89	-1.81503814035652	3.29436540925989	0.94046862900024	0.884481594707533	100000	175
1.9	-1.809488430319	3.27425041217625	0.938303425835327	0.880413695760745	100000	176
1.91	-1.80379840964934	3.25369080385205	0.936056161281738	0.87620153821681	100000	177
1.92	-1.79796210370855	3.23266990795957	0.933722273624591	0.871837715040136	100000	178
1.93	-1.79197908385538	3.21119129224767	0.931299964991634	0.867320084281907	100000	179
1.94	-1.78584455119497	3.18924309685254	0.928779114066702	0.862631133382654	100000	180
1.95	-1.77955134922329	3.16680542442114	0.926159815336722	0.857772531609376	100000	181
1.96	-1.77310221696156	3.14389398989869	0.923434985413043	0.852732742334097	100000	182
1.97	-1.76647893565261	3.12045043378477	0.920590588132526	0.847487642189953	100000	183
1.98	-1.75968815074429	3.09650508408483	0.91763246566694	0.842050001487379	100000	184
1.99	-1.75270655171759	3.07198305565443	0.914535749535384	0.836376353203796	100000	185
2	-1.74556405742114	3.04699677864887	0.911317534509348	0.830500420188609	100000	186
2.01	-1.73821661974019	3.02140002882781	0.907948237437233	0.824370839254562	100000	187
2.02	-1.73068208649451	2.99526360628601	0.904422965200462	0.817981811421185	100000	188
2.03	-1.72292602352258	2.96847732225594	0.90072340325478	0.811303637328763	100000	189
2.04	-1.71495690481213	2.94108054327994	0.896840984225061	0.804324832227689	100000	190
